"ID","Notice ","Date","Shift ","BU Name","Location","Machine No","Problem Description","Recommedation","Target ","Responsibility ","Alternate Responsibility","BU Head / Dept. Head","Status","Photo","Attachments"
"8","STOP NOTICE","27-03-2023","I","GRS","Yoke Line ","IT1044- Riveting Machine ","
Front guard bypassed (Control panel)  for Production cycle time increase by Production Team ","Additional Password protection or alternate protection required ","25-03-2023","Dinesh kumar.S - GRS","Rangadesikan.N - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed",,"0"
"9","CAUTION NOTICE","08-04-2023","I","APU","STATOR CORE TIG WELDING MACHINE","IVW0181","Observation found that- In Tig welding machine, front door is damaged and fume killer is not effective, so that, operator opens side door for proper respiration, Tig welding smokes are highly toxic and working with opened guards may results injury","Suggested to replace the front door normal glasses to acrylic glass
Effectiveness of fume killer need to be checked and cleaning frequency need to be improved","20-04-2023","Prasath.M - ABU","Vallavathevan - ABU","Saravanan.E - ABU","Closed","20230408_124408.jpg","1"
"10","STOP NOTICE","13-04-2023","I","GRS","GRS Main Assembly line","IPH0171/Bearing press","It was Observed that, Even after pressing the emergency push button, Machine is running","Suggested to take corrective actions and need to inspect on daily basis","13-04-2023","Srinivasan.A.K - CSBU","Selvadurai - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230413_092052.jpg","0"
"11","CAUTION NOTICE","13-04-2023","I","GRS","CSPU Armature line","IA0049/CNC lathe machine","CNC front door interlock is damaged, Machine is still running, even after opening the door","Suggested to replace the interlock and connect properly","13-04-2023","Srinivasan.A.K - CSBU","Selvadurai - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230413_091640.jpg","0"
"12","STOP NOTICE","29-04-2023","I","GRS","Yoke line","IT0151/Yoke Press Machine","1.Emergency push button is damaged and not working
2.SOP is not available in the machine","1.Suggested to replace the Emergency push button
2.Provide the SOP","29-04-2023","Selvadurai - WED","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230429_085837.jpg","1"
"13","STOP NOTICE","29-04-2023","I","GRS","Yoke line","IPH182/ Yoke Gimping","Emergency push button is damaged and not working","Suggested to replace the Emergency push button","29-04-2023","Selvadurai - WED","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230429_085523.jpg","1"
"14","CAUTION NOTICE","16-05-2023","I","GRS","Armature line","IT0971- Insul Forming machine","1. Interlock is bypassed through magnet in manual mode- Chances of crush injury
2.Guard is not available in insul loading area - Chances of crush injury
3.Additional Control box is kept inside the machine for operation- Chances of crush injury in case of operating","1. Provide additional guard with interlock for insul loading area 
2. Place the Additional control box out of the machine","17-05-2023","Rangadesikan.N - CSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","IMG-20230518-WA0015 (1).jpg","0"
"15","STOP NOTICE","12-06-2023","I","GRS","GRS Armature line","ITA0098- Varnish Plant","Repeated issue
1.Varnish waste are not cleaned since a week- It has spread across the machine
2.Secondary containment is totally damaged, so that varnish spilled over the containment
3.CO2 Suppression system-Nozzle is not focusing the varnish tank
4.Electrical wires are covered with varnish, Due to improper cleaning, Varnish stains stays long- This points is applicable to all the varnish plants
5.Flame proof lights are covered with varnish Stain
6.In the floor, Varnish is not cleaning properly every week, So that it is converted into solid","Suggested to take immediate actions towards cleaning the varnish
1.Varnish waste are not cleaned since a week- It has spread across the machine - Cleaned on 12.06.2023 and the same will periodically cleaned (Weekly once)
2.Secondary containment is totally damaged, so that varnish spilled over the containment - cleaned and Oil Paper with Grease applied on 12.06.2023
3.CO2 Suppression system-Nozzle is  focusing the varnish tank and the  pump- corrected13.06.2023 by C.WED 
4.Electrical wires are covered with varnish, Due to improper cleaning, Varnish stains stays long- This points is applicable to all the varnish plants - cleaned
5.Flame proof lights are covered with varnish Stain - Cleaned on 13.06.2023
6.In the floor, Varnish is not cleaning properly every week, So that it is converted into solid - Cleaned on 12.06.2023 and the same will be periodically Cleaned (Weekly once)","13-06-2023","Rangadesikan.N - CSBU","Suresh.K - ABU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230612_082613.jpg","1"
"16","STOP NOTICE","12-06-2023","I","GRS","GRS Armature line","ITA0090","1. Varnish spilled over the pump- During weekly cleaning- This area has not been covered for cleaning- It is converted into Solid.
2.Electrical wires are contaminated with varnish waste- This area also not covered during weekly cleaning
3.CO2 Suppression System nozzle is not available pump machine and tank
4.Varnish has contaminated the floor- This area needs deep cleaning","Suggested to take immediate actions 
1. Varnish spilled over the pump- During weekly cleaning- This area has not been covered for cleaning- It is converted into Solid. - Cleaned on 12.06.2023 and the same will be cleaned periodically (Weekly once)
2.Electrical wires are contaminated with varnish waste- This area also not covered during weekly cleaning - Cleaned and routed properly on 12.06.2023
3.CO2 Suppression System nozzle is not available pump machine and tank - Positioned towards Varnish pumping Tank on 12.06.2023
4.Varnish has contaminated the floor- This area needs deep cleaning - Initial cleaning done on 12.06.2023 and oil paper with Grease provided on 12.06.2023","12-06-2023","Rangadesikan.N - CSBU","Suresh.K - ABU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230612_082657.jpg","1"
"17","STOP NOTICE","20-06-2023","I","CMSPU","Drive line","IPH0178 Pinion Hard Turning","1.Front guard interlock is bypassed with magnet
2.Front guard railing  is totally damaged, So that door is not closing totally while operation","Need to fix the door and connect the interlock properly","20-06-2023","Srinivasan.A.K - CSBU","Vinoth Kumar.V - ABU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","IMG-20230620-WA0008.jpg","1"
"18","STOP NOTICE","20-06-2023","I","CMSPU","Drive line","IT0252 - Pinion tooth chamfering SPM","1. Right side guard is bypassed with magnet by the Operator Mr. Subbiah. M(49430)","Suggested to provide appropriate interlock to avoid this kind of bypass and take necessary action","20-06-2023","Srinivasan.A.K - CSBU","Vinoth Kumar.V - ABU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Interlock bypass.png","1"
"19","CAUTION NOTICE","20-06-2023","I","GRS","HDGRS Shaft line","IG0111- Armature Shaft machining","Please find the image that
1. In panel, Switch is marked in manual mode, but machine is running in Auto mode,

This creates confusion between Auto and manual during Breakdown activity, Injury may happen","Suggested to reconnect the switch properly to avoid incident","20-06-2023","Srinivasan.A.K - CSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","manual auto.png","1"
"20","CAUTION NOTICE","27-06-2023","I","CMSPU","Shaft Line ","IF0010","The induction turning machine coolant oil overflowed and the workplace very unsafe and slippery condition","To be corrected and maintain workplace dry and clean condition","29-06-2023","Balasubramani.M - CMSBU","Ramesh.A - CMSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","IMG20230627084642.jpg","0"
"21","CAUTION NOTICE","03-07-2023","II","GRS","HDGRS","IPH0144- YOKE GIMPING MACHINE","1. While pressing the tap switch, It is not returning back, So that, Multiple/continues strokes carrying out by the machine automatically - Chances of crush hazard
2. Photo guard is not covering the entire Operation- Gap Observed between photo guard and side guard
3.Photoguard wiring insulation is damaged badly","1.Suggested to replace the tap switch or provide two hand long hold - Tap switch renewed
2.Need to Extend the guard or Photo guard distance - LHS gap guard additionally provided
3.Wirings replaced","04-07-2023","Selvadurai - WED","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230703_170928.jpg","1"
"22","CAUTION NOTICE","05-07-2023","II","GRS","Shaft line","ITR0014- Thread rolling machine","1. Front guard interlock is bypassed
2. Clamping unit is placed very close to the rotating shaft, Which is not entirely guarded- chances of Entanglement is high","1. Need to connect the interlock
2. Rotating shaft need to guard properly

Door interlock program revisited and updated for Shaft Thread Rolling & Spline Rolling corrected","06-07-2023","Selvadurai - WED","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20230705_191316.jpg","1"
"25","CAUTION NOTICE","15-07-2023","I","APU","Core line","IVW0195 and IPH0241- Tig Welding and Press machine(Near)","In both machines, Argon cylinder with full pressure is placed without support/Stand- Near the cylinder Trolleys with material movements observed

If the cylinder gets fall, Major incident may happen","Provide the Support/Stand as soon as possible and isolate the area","17-07-2023","Vallavathevan - ABU","Prasath.M - ABU","Saravanan.E - ABU","Open","20230715_101228.jpg","0"
"26","CAUTION NOTICE","18-07-2023","II","WED","Vehicle Running in Peripheral and EPU","IBA0182- BOPT","1. Brake is not working, while reverse movement
2. Vehicle carrier is uneven, So that while carrying the materials, it may get topple","Suggested to take corrective actions","19-07-2023","Jayachandra babu.D - WED","Govindaraj .P - WED","Balakrishna Pawar - WED","Open","20230718_211852.jpg","0"
"27","STOP NOTICE","24-07-2023","II","GRS","MGRS ","IT0917 & IT0918","IT0917 Door interlock bypassed with magnet
IT0918 door Sensor not working","To be corrected and educate the employees 

IT00917 Pin Forming RHS Door interlock - Counselling given to the Operators
IT0918 - Sensor problem Corrected","25-07-2023","Sathish Kumar.P ( Module Controller ) - CSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","77c4a4b9-c5a8-482c-9f00-7c4fb04c7318.jpg","0"
"28","STOP NOTICE","25-07-2023","II","EPU","Armature Brown stage ","EIEL0008","dynamic balancing machine bypassed by the help of cardboard 
Trainee: Harishkumar - 49373
Cell Leader : Mr. Balaji","Take necessary action and Educate the employees ","25-07-2023","Krishnaswamy.V - EPU","Senthil Murugan S - EPU","Sakthi.K ( LTVS - Padi, EPU )","Closed","b80fddba-129b-46cf-8016-03dae9c0e236.jpg","0"
"29","STOP NOTICE","27-07-2023","II","APU","Stator","ITA 0070 - Paint Plant","1. Due to failure of local exhaust system in the paint plant, the paint is observed to spray back at the operator's face every time.
2. Improper flow in the water curtain 
3. Secondary Containment is unavailable for the paint mixer","1. Stop Call Wait not followed as the exhaust system is said to have failed yesterday (26.07.2023). - EXHAUST FUNCTION FAILED TODAY ONLY
2. Proper flow to be ensured in the water curtain. - WATER FLOW ENSURED
3. Secondary Containment to be provided. - AVAILABLE
4. Efficiency of the exhaust and proper working condition of the water curtain to be included in PM. - SPARE EXHAUST REPLACED
","27-07-2023","Prasath.M - ABU","Karthik - ABU","Saravanan.E - ABU","Closed","IMG-20230727-WA0020.jpg","1"
"30","STOP NOTICE","31-07-2023","I","APU","Stator line ","IZ 0086-Stator coil winding machine ","1. Machine Back side door top side door interlock is not working and bottom side door lock is not working properly. - WORKING
2. Machine hexagon movement and rotation can be accessed through copper de coiling area machine bottom opening. - CLOSED
3. Right side de coiling area door top side interlock is not working. - CORRECTED
4. Insul push pressing de coiling motor coupling and gear movements are not guarded around the machines. - INTERLOCK PROVIDED
5. Machine front side push pressing area movement is guarded with door but door interlock is not available. - machine movement and pinch point is accepted when door is open condition. - INTERLOCK PROVIDED
6. Machine Front left side door interlock available and it’s not working. -GUARD FIXED
7. Machine movement is guarded with door over the photo guard and cylinder and machine movement is accessed when door is opened. - GUARD FIXED
8. Left side the machine hexagon movement/rotation area fixed 2 door is removed but it's not re fixed. But the machine is running. - GUARD FIXED
9. Panel chiller unit hose clamp is not fixed in outlet both side and inlet panel side.
10. Machine inlet air valve handle is not available and valve handle knob is worn out condition.
11. Machine network box Switch box is broken condition. This is fixed on the machine panel.
12. Air solenoid valve is hanging backside of the machine and it’s not mounted. 
13. Copper scrap winding wire is accumulated under and on the machine table. - CLEARED
","Please rectify all the observations.","01-08-2023","Prasath.M - ABU","Vallavathevan - ABU","Saravanan.E - ABU","Closed","IMG_20230731_094014 (1).jpg","0"
"31","STOP NOTICE","31-07-2023","I","GRS","HD armature line ","IT0971- Insul forming & Insertion ","Insul forming & insertion  machine- Front door interlock sensor is bypassed with magnet. ","Please rectify the observation. 
Insul forming & insertion  machine- Front door interlock sensor is bypassed with magnet Both the interlock is working. While tool setting operator wrongly kept the magnet on the sensor. Advised them not to use the Magnet on the sensor","31-07-2023","Rasheed - CSBU","Selvadurai - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","IMG_20230731_123229.jpg","0"
"32","STOP NOTICE","03-08-2023","II","APU","APU- stator line ","IPH 143 End forming machine","1. Machine Photo guard is not working when interrupting and the machine is running continuously and completed the entire operation. The machine is not stopped. 

2. Producer maintenance chart is available but it’s not covered all three shifts and also machine specific safety check points are not available. In this PM chart Photo guard, Emergency Switch, Two hand control/tap switch/foot pedal function and door/guard inter lock and other working conditions are not included. 
Currently PM chart operator ticks only the check points & the operator is not signed and supervisor also not verified & signed. 

3. Tap switch is fixed instead of two hand control and this is a standalone machine. 

4. Left & right side sliding guard is fixed, but guard interlock is not available. Machine movement and pinch point and can be accessed when guard is open condition. 

5. No Guard is available backside of the machine.

6. Machine movement & pinch point can be accessed backside of the tap switch. The guard is not available. 

7. Machine movement can be accessed over the photo guard/ or PG height to be increased.

8. Tray with materials kept inside the control panel.  Combustible materials kept in front of the panel and panel access is blocked. Large open on top of the panel. 

9. Operating panel display is lighting is invisible and mounting height of the display is little high so it’s difficult to the operator while accessing the panel. 

10. Small hydraulic pump motor is not double earthed and guard mounting screw is missing.

11. Hydraulic motor cable gland is not fixed and Motor body is not double earthed. Opening on the motor fan guard and shaft rotation can be accessed

12. Oil leakages on hydraulic regulator and fittings. Oil spillages on hydraulic tank and backside of the machine.

13. Pinch point is identified while stator clamping cylinder movement.  

","Please rectify all the abnormalities","04-08-2023","Prasath.M - ABU","Vallavathevan - ABU","Saravanan.E - ABU","Open","PG.PNG","0"
"33","CAUTION NOTICE","09-08-2023","I","GRS","LD GRS Main assembly line-2 ","LD GRS Main assembly line-2 Conveyor ","LD GRS Main Assembly line- 2 conveyor: Pallet struck on conveyor minimum 20 times/shift; Every time operator stopped & open the door to align/removed  the strucked pallet. 

Possibility of Hand cut & crush injury might be happened when unexpected start of conveyor while doing this activity. Please take necessary action to avoid such activity.

Operator opened the door but they were not closed  door after doing such activity. The conveyor pallet transfer movement is always exposed. 

This abnormality is already  highlighted on  24.06.2023. But no actions were taken. 





","Suggested to take immediate  action.
Action Taken : In BS6 GRS main Line line Omron Safety Door Switch  GLS - M1 (Magnet) with GLS-S1(sensor) provided on all the four door & the Conveyor interlocked and tested and Found OK ","09-08-2023","Selvadurai - WED","Rasheed - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","LD GRS Main assembly line-2.jpg","0"
"34","CAUTION NOTICE","09-08-2023","I","EPU","Shaft line","ITR0006- Shaft knurling machine","Noise level found abnormal- It was Observed that noise level raises around 99.8 dB","Suggested to take corrective action- Average noise level should be 85-89dB surround 1 meter of the machine","10-08-2023","Stephen Paulraj D - EPU","Senthil Murugan S - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","20230808_154447.jpg","0"
"35","STOP NOTICE","14-08-2023","II","EPU","Armature line","Powder Coating machine- EIT0144","Powder is spreading all over the surroundings during process","Suggested to take corrective actions","15-08-2023","Stephen Paulraj D - EPU","Senthil Murugan S - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","IMG-20230814-WA0010.jpg","0"
"36","STOP NOTICE","30-08-2023","I","EPU","Crank case Sub Assembly line","E-IT0139","After Interrupting the photo guard, while pressing two hand push button, Ram is moving down without reset the machine- Crush Hazard","After interrupting the photo guard, Ram has to move to the home position after getting reset","30-08-2023","Stephen Paulraj D - EPU","Senthil Murugan S - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","20230830_145632.jpg","0"
"37","STOP NOTICE","05-09-2023","II","APU","Rotor line","IT0386- Slip ring press","1. Photo guard is not working in both Auto mode and Manual mode
2. Emergency push is not working in both auto and manual mode","Suggested to take immediate actions","05-09-2023","Prasath.M - ABU","Vallavathevan - ABU","Saravanan.E - ABU",,"20230905_155428.jpg","0"
"38","CAUTION NOTICE","13-09-2023","I","EPU","Armature line","EIO0001 Commutator Polishing","While starting and ending of Operation, Entire machine is vibrating/Moving- Stability of the machine is weak","Take necessary actions by today 13.09.2023","13-09-2023","Stephen Paulraj D - EPU","Senthil Murugan S - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","20230913_095420.jpg","0"
"39","STOP NOTICE","14-09-2023","I","Process","Phosphating line","Manual Spray Painting- IKJ0017","1. Paint Filter system is not working, While doing manual spray painting, Entire sprayed paint is returning back to operators face/Body","Recommended to take take immediate action","14-09-2023","Vijayaraghavan.K - Process","Kumar M - Process","Ramasami.M - Process","Closed","20230914_113208.jpg","1"
"40","STOP NOTICE","27-09-2023","II","Wiper","Wiper assembly line","Gear wheel assembly machine","Machine photo guard is misaligned and left side guard is hanging out from the machine- Also the machine is not in use without any identification displays","Recommended to check and remove the machine from the line- if not in production use","27-09-2023","Stephen Paulraj D - EPU","Tikkaram.M - EPU","Prabakaran.P - Wiper","Open","20230927_111539.jpg","0"
"41","STOP NOTICE","03-10-2023","II","GRS","Armature assembly machine","IT0487- Insul Forming machine","1.Emergency push button is not working - Completed on 03.10.2023
2.Pinch point is easily accessible without the interruption of photo guard( Top guard is not available)  - Top Guard provided on 05.10.2023","Recommended to take immediate actions and provide top side guard to avoid pinch point access - Completed on 05.10.2023","03-10-2023","Selvadurai - WED","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","IT0487 top guard.jpg","0"
"42","CAUTION NOTICE","04-10-2023","I","APU","Claw","Electric Rail trolley- Short blasting machine-IKS0004","Emergency push button is damaged in the trolley
Emergency push button is not available in remote control","1.Recommended to provide emergency push button
2.Recommeneded to provide emergency push button also in Remote control to avoid emergency response delay","04-10-2023","Jayachandra babu.D - WED","Raja.N - ABU","Balakrishna Pawar - WED","Closed","20231004_090543.jpg","1"
"43","STOP NOTICE","05-10-2023","I","GRS","Sub assembly machine","ITE0027- Bracket bush assembly machine","Since it is a Stand alone machine, Front guard is not available and two hand push button is not available, Tap switch given to the machine
 Action Taken: For Stand alone operation - We have introduced Double Hand Push Bottum","Need to provide two hand long hold and front guard","05-10-2023","Selvadurai - WED","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20231005_094551.jpg","1"
"44","STOP NOTICE","05-10-2023","I","GRS","Armature line","IVT0682- Armature electric test machine","Front guard is not getting closed during the operation, Since the machine doesn't have photo guard, front guard is mandatory","The front guard is already connected to cylinder, Need to provide connection - Pneumatic Auto Door Restored on 05/10/2023","05-10-2023","Selvadurai - WED","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20231005_094305.jpg","0"
"45","STOP NOTICE","07-10-2023","I","GRS","HDGRS Stores","IBA0242- Scissor lift","1. Mezzanine floor Scissor lift- Even after opening the door, Scissor lift is moving up and down, INTERLOCK ERROR- severity of crush hazard is high
2.Side door lock is damaged","Recommended to take immediate action- Video Attached

Proximity Sensor replaced - Corrected","07-10-2023","Selvadurai - WED","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","20231007_084230.jpg","1"
"46","CAUTION NOTICE","09-10-2023","I","Wiper","Phosphating","IVX0067- Oven","Behind the machine, Entire gears and chain movements are not guarded, Frequent man movement is observed- Severity of Crush hazard is high","Recommended to provide guard for entire chain and gear movement area","09-10-2023","Stephen Paulraj D - EPU","Prabakaran.P - Wiper","Sakthi.K ( LTVS - Padi, EPU )","Open","IMG-20231009-WA0014.jpg","0"
"47","STOP NOTICE","02-11-2023","I","GRS","Drive line "," IL0134- Hard turn and pinion bush assembly ","Machine front inspection door bypassed with magnet. ","Machine movement can be accessible when door is open condition, so door interlock to be fixed.

Mechanical Guard provided","02-11-2023","Muneeswaran.G - LD GRS","Selvadurai - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","IL 0134.jpg","0"
"48","CAUTION NOTICE","16-11-2023","I","GRS","LDGRS Main Assembly line","IT0836","It was Observed that, Front guard is in open condition during Operation- Interlock is connected only for one door, Meanwhile another door is kept unclosed.","Recommended to provide interlock for both doors and Suggested to do Horizontal deployment for all Main Assembly lines","16-11-2023","Selvadurai - WED","Rasheed - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","IMG-20231116-WA0001.jpg","0"
"49","STOP NOTICE","16-11-2023","I","CMSPU","Shaft and  core line ","IP0070  IP0064 Blanking press EOT hoist ","IP0070 Blanking press  EOT hoist
1.Lifting hook latch is missing 
2.In coil lifting chain, bolt nut is used for connecting two end of the chains. But this bolt dia is worn out more than 30%  and also bolt bent more than 30 degree. Over the period of time bolt will be broken while lifting coil. Check nut also not available in this bolt. 

IP0064 Blanking press EOT hoist- Lifting hook latch is damaged condition. 

In CMSBU Blanking press EOT hoists lifting hook latch is frequently damaged or removed by the machine operators. Even after damaged the machine operators & supervisors are not reported to concerns for immediate correction.  
Operators are operating hoist without hook latch.  

Central WED team frequently changing hook latches in CMSBU.","1.Please use standard D shackle for connecting chains. 
2.Please fix Positive Latching Hooks to avoid hook latch damages & frequent replacement. ","16-11-2023","Ramesh.A - CMSBU","Jayachandra babu.D - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","IMG_20231116_085318.jpg","0"
"50","STOP NOTICE","15-12-2023","III","EPU","Brush box assembly line ","EIT0074- Earth screw tightening machine's","Earth screw tightening machine's (EIT0074) Two hand controls RHS push button bypassed. Mr.Sivanesh.R ( L07162 ) was operating the machine with bypassed condition. ","Please rectify the abnormalities.","16-12-2023","Senthil Murugan S - EPU","Stephen Paulraj D - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20231216_015049][1]_[1].jpg","1"
"51","CAUTION NOTICE","20-12-2023","II","Wiper","Wiper line near APU","IGO151 and IG0001","1. While changing the alignment or dressing, Operator has to manually adjust the guide in machine running time-  we have found that, it may cause entanglement or cut or even crush injury
2. There is no  platform available in the machine for guide adjustment, so that operator has to climb improperly over the the motors/machines to adjust the guide","1. Recommended to provide possible guard to avoid hand injury
2.Recommended to provide proper platform ","22-12-2023","Stephen Paulraj D - EPU","Prabakaran.P - Wiper","Sakthi.K ( LTVS - Padi, EPU )","Open",,"0"
"52","STOP NOTICE","01-02-2024","I","EPU","Armature line ","EIEL 0001- Dynamic balancing machine ","1. Machine operator bypassed right side door interlock with the use of  bearing for Adjusting the compound presence sensor.
2. Bare wire inserted inside the switch box socket for Machine lighting","1. Training & Awareness to be given to the machine operators.
2. Plug top to be fixed for the machine lighting cable.
","01-02-2024","Senthil Murugan S - EPU","Stephen Paulraj D - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","Reserved_ImageAttachment_[5]_[Photo][23]_[IMG_20240201_121938 (1)][1]_[1].jpg","1"
"53","STOP NOTICE","03-02-2024","I","APU","Stator line","IT0116- Coil insertion Machine ","1. RHS - Machine was running without guard in place . Guard interlock is not available.
2. Top side -Machine was running without guard in place. Guard & interlock is not available  
 3.LHS – Machine guard interlock is not available 
4. Bottom side of the machine- Machine movement & Pinch point can accessible bottom of the machine-  Machine guard is not available at bottom side.
5.Electrical panel  & motor is not earthed 


 


","1. Left, Right, Top & bottom side guard to be fixed with interlock.
2. Control panel & motors to double earthed","03-02-2024","Prasath.M - ABU","Vallavathevan - ABU","Saravanan.E - ABU","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240203_142342][1]_[1].jpg","1"
