"ID","Notice ","Date","Shift ","BU Name","Location","Machine No","Problem Description","Recommedation","Target ","Responsibility ","Alternate Responsibility","BU Head / Dept. Head","Status","Photo","Attachments"
"54","STOP NOTICE","03-02-2024","I","APU","Stator line","IZ0085- Winding Machine ","1. RHS- Machine was running without in place & guard interlock also not available.
2.LHS- Machine was running without in place & guard interlock also not available
3.LHS- Winding rotation pallet can be accessible through back side  of the pallet. 
4. RHS- Winding rotation pallet can be accessible through back side  of the pallet. 


","1. Guard & interlock to be fixed all sides of the machine.","03-02-2024","Prasath.M - ABU","Vallavathevan - ABU","Saravanan.E - ABU","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240203_143638][1]_[1].jpg","1"
"55","STOP NOTICE","28-02-2024","General","CMSPU","Nearby CMSBU Maintenance area","IP0022 Press - EOT Hoist ","1. Emergency stop button is not working on the Pendant box. 
2. EOT hoist isolator is inaccessible.
3. Inspection sticker is not available for Hoist Incoming MCB box.  ","Please rectify this issue as soon as possible. ","28-02-2024","Srinivasan.A.K - CSBU","Jayachandra babu.D - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][31]_[Emergency stop- IP022 EOT hoist][1]_[1].jpg","1"
"56","STOP NOTICE","29-02-2024","General","Process","Phosphating Right side hoist ","EOT hoist ","1.Hoist wire rope strand bulged/ Protrusion condition and Many wires cut on the wire rope.
2. Hoist power cable is hanging.
3. Hoist incoming isolator identification is not visible.","1. Please Close all the abnormalities as soon as possible. ","29-02-2024","Vijayaraghavan.K - Process","Kumar M - Process","Ramasami.M - Process","Closed","Reserved_ImageAttachment_[5]_[Photo][23]_[Incoming identification][2]_[10].jpg","1"
"57","STOP NOTICE","29-02-2024","General","PMTC","MTC ","10T EOT crane ","1.LT (Long travel) break is inefficient
2. CT ( Cross travel ) Break is in efficient 
3 .Hoist up & down break is  inefficient
4. Abnormal sound is coming on rail, during initial movement of CT and LT & Movement. 
5. Dust accumulated on the EOT crane electrical busbar and crane rails. 
6. South side - Red phase busbar indicator is not working ","Please close all the abnormalities as soon as possible.","29-02-2024","THIRUNAGESHWARAN.R - PMTC - MFG","VASANTHA KUMAR.V.G - PMTC - MFG","Udayachandran (LTVS - Padi, Special Projects)","Open",,"0"
"58","STOP NOTICE","08-03-2024","General","Process","Phosphating ","Baking Oven -IVX0098","1. Oven is running with door interlock bypassed condition. Machine operator already communicated this to concern person but actions were not taken for closing the abnormalities. ","Please rectify this issue as soon as possible. ","09-03-2024","Kumar M - Process","Kumaresan.K - QC Lab","Ramasami.M - Process","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240308_110555][1]_[1].jpg","1"
"59","STOP NOTICE","23-03-2024","I","WED","Fabrication shed ","3 Phase Welding machine -3","1. Welding cable insulation is damaged in close to welding holder and copper wire is exposed. 
2. 30 mA RCCB is not available for welding machine. ","1. Welding cable to be replaced.
2. 30 mA RCCB to be fixed.","24-03-2024","Annadurai.M - MSE","Ganesh.V - WED","Manivasagam - WED","Open",,"0"
"60","CAUTION NOTICE","23-03-2024","I","Wiper","Wiper System line","IT0889","1. PM Check sheet is not available for the machine
2.Oil Leakage is is surrounded the machine and not cleaned since 2 days","Recommended to Clear the oil leakage as soon as possible
Separate PM Check sheet to be provided to all machines","23-03-2024","Stephen Paulraj D - EPU","Prabakaran.P - Wiper","Sakthi.K ( LTVS - Padi, EPU )","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG-20240323-WA0003][1]_[1].jpg","1"
"61","STOP NOTICE","23-05-2024","I","GRS","GRS Yoke line","IL0150- CNC Vertical Lathe","1. Heavy oil leakage/Over flow spread from the machine to the entire yoke line surroundings, cause slip hazard
Note- It is a daily and repeated issue- Already near miss happened

2. Safety Certificate is not inspected since march 2024
","1. Recommended to clear as soon as possible and take corrective actions to avoid Spill/Over flow - Cleared
2.Monthly Safety inspection to be done properly and need to be updated","24-05-2024","Selvadurai - WED","Rasheed - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240523_090413][1]_[1].jpg","1"
"62","STOP NOTICE","10-06-2024","II","GRS","GRS -LD BG line ","IPH0130- 4T Hydraulic Press ( Press gear ring and brush box 3 & 4 roll over assembly) ","1.Photo guard is not available in Hydraulic press machine. Possibilities of Hand/Finger crush injury during the ram movement.
2. Hydraulic oil leakages in ram cylinder piston and leakages from hydraulic oil tank. 
3. Ram movement and pinch point can be accessible through backside of the guard opening.  Existing backside guard is not sufficient to prevent hand/ finger access to the ram movement.
4. Machine safety fitness certificate is not checked and updated since April. 
","Please rectify all the abnormalities as soon as possible.
Action Taken:
1.Photo guard introduced
2. Rear Guard introduced to prevent hand/ finger access to the ram movement.
","10-06-2024","Srinivasan.A.K - CSBU","Rasheed - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240610_153800][1]_[1].jpg","1"
"63","CAUTION NOTICE","12-06-2024","General","GRS","Yoke line ","IVW0193- Submerge arc welding "," In submerge arc welding, welding smoke arises during the operation, it's directly spreaded to open work atmosphere  and this leads to exposure of welding fumes by welding operator and nearby machine operators. 
Continuous exposures of welding  fumes will create inhalation hazard and long-term chronic diseases. ","Request to install fume killer or welding fume extractor.

","19-06-2024","Srinivasan.A.K - CSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240612_094801][1]_[1].jpg","1"
"64","CAUTION NOTICE","12-06-2024","General","GRS","Yoke line ","ITA0103- Yoke soaping plant ","While picking up yoke from bin and loading yoke to the soaping plant. Possibilities of operator head hit the machine operating panel, because existing position of operating  panel is located  in between yoke picking and loading activity.  This machine operator, operated yoke sizing machine and soaping plant simultaneously, so the possibilities of hit hazard is high. Please refer attached photo. ","Request to modify panel position or trolley bin. ","20-06-2024","Sasikumar.S - CSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240612_094334][1]_[1].jpg","1"
"65","STOP NOTICE","04-07-2024","General","GRS","Melco Drive line","IPH0185 - Cover Sizing machine ","1. Photo guard is not working in Manual mode. 
2. The photo guard position did not cover the entire ram movement.
2. Machine guard is not fixed in left side of the machine and guard is not available in right side of the machine. 
3. Poka Yoke - Cylinder piston movement is not guarded .
4.  Switch box is broken condition in Control panel.
5. Cotton waste and unwanted materials kept inside the control panel.
6. Cable and air hose is hanging left side of the machine.
7. Oil spilled over the hydraulic tank and machine.","Please rectify abnormalities as soon as possible.","04-07-2024","Srinivasan.A.K - CSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240703_144915][1]_[1].jpg","1"
"66","STOP NOTICE","30-07-2024","I","EPU","PMC - Wabco CNC machine arae ","E -IA0022 & E-IA0012- CNC Vertical Machining center ","Coolant oil heavily leaked from the tank  and It's spilled around the machines, operator working area and walkway. Possibilities of slip and fall down of person is high.  The both machines coolant oil was leaked since yesterday but so far the leakage was not arrested and cleaned. Because  NO access to the coolant tank to find the coolant leakage causes. Also sufficient access and space is not available for cleaning, removing machining burr and cleaning the spilled coolant and oil. ","1.Please identify the leakage in coolant tank and arrest it. Also clean the coolant spillage area. 
2. Request to relayout these machines with sufficient access and space. ","30-07-2024","Manivasagam - WED","Senthil Murugan S - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20240730_085954][1]_[1].jpg","1"
"67","STOP NOTICE","30-07-2024","I","GRS","Drive line","ITB0009","Continuous Oil leakage Observed from the machine
Oil reaches gangway and created Slip Hazard
Repeated issue, that Oil is not getting arrested
Machine related bins, Components and Scrap materials are stored in Gangway, Created trip Hazard
Rust oil leaked from Inspection table, that reaches gangway","Recommend to clear those points as soon as possible, as those points are repeatedly happening","30-07-2024","Srinivasan.A.K - CSBU","Selvadurai - WED","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[20240730_104205_HDR][1]_[1].jpg","1"
"68","STOP NOTICE","06-08-2024","General","GRS","Car starter drive ","IPH 0174- Cover rollover ","1.PG was  not working in auto mode. While interrupting the PG ram down movement was  not stopped. Also PG was not enabled for manual mode operation.
2.Oil leaked from ram cylinder piston.
3.Ram and pinch point movement can be accessible through left and right side of guard opening.","Request to change the PG , arrest the oil leak and close the guard opening.","06-08-2024","Sasikumar.S - CSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG-20240806-WA0004][1]_[1].jpg","1"
"69","STOP NOTICE","09-08-2024","General","GRS","GRS SGM Armature white stage ","IT0595- Steel ring insertion ","1.Emergency stop button is not working.
2. Hydraulic motor is not double earthed.
3.Dust is accumulated over the hydraulic valve fittings.
4. Exhaust fan is not working inside control panel.
5. Cable is hanging and not routed inside the control panel.","1.Please rectify all the abnormalities as soon as possible.","09-08-2024","Harikrishnan S - CMSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG-20240809-WA0006][1]_[1].jpg","1"
"70","STOP NOTICE","12-08-2024","General","GRS","Yoke line ","ITA0103- Soaping plant ","A minor head injury happened around 9.05 pm on 10.08.2024 in GRS Yoke line, ITA0103 Soaping plant. Women operator was taken yoke from the bin to loaded in soaping plant. While doing so, her forehead hit the operating panel and sustained mild cut injury on forehead. 

The same abnormalities identified and issued  caution notice on 12.06.2024 but so far this abnormalities was not closed, So the incident was happened because of not relocating the operating panel. 


CAUTION NOTICE ISSUED ON 12.6.2024:  While picking up yoke from bin and loading yoke to the soaping plant. Possibilities of operator head hit the machine operating panel, because existing position of operating  panel is located  in between yoke picking and loading activity.  This machine operator, operated yoke sizing machine and soaping plant simultaneously, so the possibilities of hit hazard is high. Please refer attached photo. ","Please relocate the operating panel.
Relocated the Operating Panel ","12-08-2024","Harikrishnan S - CMSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG-20240812-WA0000][1]_[1].jpg","1"
"71","STOP NOTICE","12-08-2024","General","GRS","GRS yoke line "," GRS IVW0193- Submerge arc welding","The below abnormalities issued CAUTION NOTICE  on 12.06.2024, But so far abnormalities was not closed.   

In submerge arc welding, welding smoke arises during the operation, it's directly spreaded to open work atmosphere and this leads to exposure of welding fumes by welding operator and nearby machine operators.
Continuous exposures of welding fumes will create inhalation hazard and long-term chronic diseases.","Please fix the fume killer. ","12-08-2024","Sasikumar.S - CSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed",,"0"
"72","STOP NOTICE","06-09-2024","General","GRS","MGRS assembly line -2","IVT0718- Light run testing ","Front door interlock is not working in light run testing operation ","Door interlock to be rectified .
New door interlock Magnet with sensor introduced
","06-09-2024","Srinivasan.A.K - CSBU","Rasheed - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][58]_[Light run testing - IVT0718- door interlock is not working][1]_[1].jpg","1"
"73","STOP NOTICE","09-09-2024","I","Others","Peripheral","IBA 0123","BOPT :
1. Forward direction not working
2. Sharp edge projections available (welding damage)
3. Wrong arm movement ","Need to repair completely","10-09-2024","Jayachandra babu.D - WED","Balakrishna Pawar - WED","Balakrishna Pawar - WED","Open","Reserved_ImageAttachment_[5]_[Photo][15]_[20240909_073248][1]_[1].jpg","1"
"74","STOP NOTICE","10-10-2024","I","GRS","CSPU Armature Line","IPH0099","Huge oil leakage from machine IPH0099","Regular maintenance of valves, hose, pumps.
using of secondary containment tray.
Required periodic maintenance and proper housekeeping. ","10-10-2024","Srinivasan.A.K - CSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)",,"Reserved_ImageAttachment_[5]_[Photo][19]_[IMG-20241010-WA0026][1]_[3].jpeg","1"
"75","CAUTION NOTICE","11-11-2024","I","WED","CDC","Fork lift -IKT0001","Seat Belt is not available in the Vehicle","Recommended to provide seat belt to the Vehicle as soon s possible","11-11-2024","Jayachandra babu.D - WED","Umashankar - EPU","Balakrishna Pawar - WED","Open","Reserved_ImageAttachment_[5]_[Photo][15]_[20241111_143043][1]_[1].jpg","1"
"76","CAUTION NOTICE","13-11-2024","I","CMSPU","ESD/CMSPU In Between","IVS0028- Solderingmachine","1. Heavy Dust Accumulated inside the machine- Potential Source of fire
2.Emergency push button and the interlock id tied with rope
3.Varnish spilled surrounds the machine over the Secondary Containment
","Recommended to take immediate actions","13-11-2024","Ramesh.A - CMSBU","Arunachalam.S - ESD","Srinivasan.A.K - CSBU","Open","Reserved_ImageAttachment_[5]_[Photo][15]_[20241112_112956][1]_[1].jpg","1"
"77","STOP NOTICE","14-11-2024","III","EPU","Brush box line assembly","E-IVW0021","Inside machine water leakage from tool ","Suggest to change the tool","14-11-2024","Senthil Murugan S - EPU","Stephen Paulraj D - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","Reserved_ImageAttachment_[5]_[Photo][17]_[IMG20241114040725][1]_[1].jpg","1"
"78","CAUTION NOTICE","13-11-2024","III","EPU","Brush box assembly","E-IVW0012","Fume killer exhaust pipe got damaged in brush braid & inductor welding machine and fumes spreads through damaged pipe and same welding smokes are highly toxic.","Suggested to replace the fume killer exhaust pipe at the earliest.","14-11-2024","Senthil Murugan S - EPU","Stephen Paulraj D - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20241114_052303][1]_[1].jpg","1"
"79","STOP NOTICE","13-11-2024","III","GRS","GRS YOLK LINE","IA0047","AGAIN SAME MACHINE HUGE COOLANT OIL LEAKAGE OCCURS, ","Suggested to find out the leakage path and arrest the leakage through secondary containment and through connecting hose.","14-11-2024","Srinivasan.A.K - CSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][17]_[IMG20241114021811][1]_[1].jpg","1"
"80","STOP NOTICE","04-12-2024","I","GRS","GRS Yolk Line","IA0040 Muratec","Huge coolant oil sludge stagnant inside the machine, pump is tied up with the cooper wire, coolant oil leakage.","Suggested to remove all coolant sludge and provide proper platform for coolant pump ","04-12-2024","Srinivasan.A.K - CSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG-20241204-WA0022][1]_[1].jpg","1"
"81","STOP NOTICE","04-12-2024","I","GRS","YOLK Line","IL0150 CNC Jothi","Again same issue in this machine huge coolant oil leakages and bur is stagnant inside the machine ","Suggested to remove the bur accumulated inside the machine and in secondary containment  to avoid coolant oil leakage ","04-12-2024","Srinivasan.A.K - CSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG-20241204-WA0031][1]_[1].jpg","1"
"82","STOP NOTICE","09-12-2024","I","EPU","Wapco Brown stage balancing wiper ","E-IEL0008","Door inter lock bypass by placing paper inside. Other than front side door all 3 side doors not working with interlocks.","Suggested to proper fixing of interlocks and don't bypass the machine","09-12-2024","Stephen Paulraj D - EPU","Senthil Murugan S - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","Reserved_ImageAttachment_[5]_[Photo][10]_[1000210062][1]_[2].jpg","1"
"83","STOP NOTICE","09-12-2024","I","EPU","BN7I HMIL","IT1090","Emergency push button seperated and fully damaged and its comes out from the box.","Suggested to replace the Emergency push button at the earliest ","09-12-2024","Stephen Paulraj D - EPU","Senthil Murugan S - EPU","Sakthi.K ( LTVS - Padi, EPU )","Open","Reserved_ImageAttachment_[5]_[Photo][10]_[1000210053][1]_[1].jpg","1"
"84","STOP NOTICE","11-12-2024","I","CMSPU","Drive line ","IA0035","Two hand push got damaged, trainee operating machine with cycle on switch ","Suggested to fix the two hand push button, don't operate with cycle on switch.","11-12-2024","Boopathi.S - GRS","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][10]_[1000210701][1]_[1].jpg","1"
"85","STOP NOTICE","17-12-2024","I","GRS","GRS Yolk line","IT0987","In Machine Magnetization without pressing two hand push button neumatic drop down and cause mild injury it shows unsafe condition.","Suggested for two hand long hold press to operate this machine.
 Two Hand Long Holding Introduced.","17-12-2024","Srinivasan.A.K - CSBU","Balasubramani.M - CMSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][10]_[1000213634][1]_[1].jpg","1"
"86","CAUTION NOTICE","18-12-2024","I","CMSPU","Shaft line ","IF0127 shaft grinding ","Coolant oil leakage from machine and it continues every time.,","Suggested to take immediate action to solve this regular coolant oil leakage ","18-12-2024","Ramesh.A - CMSBU","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][10]_[1000214073][1]_[1].jpg","1"
"87","STOP NOTICE","19-12-2024","I","Process","Phosphating"," RHS - EOT crane","1. Many wires cut on the Hoist wire rope strand. 
2. LT movement brake is not working.
3.Two joints on the power cable.
4.Noise observed during the hook block pulley movement. 
5.Oil leakage observed on gear box.
6.Lock pin is not available on the lifting  hook. 
7.Noise is observed during the LT movement.
8. Hoist Electrical panel cover is not closed fully.
9. Hoist Incoming isolator is not working properly. 
","All the abnormalities need to be rectified. ",,"Vijayaraghavan.K - Process","Velmurugan.S - Process","Ramasami.M - Process","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20241216_111218][1]_[1].jpg","1"
"88","CAUTION NOTICE","19-12-2024","I","Process","Phosphating ","LHS hoist","1. L T movement brake is not available. While moving bin or Jig, the hoist Long travel movement is moved its own weight. So Break need to be fixed for Long travel movement. 
2.Lifting hook lock pin is not available.
3. Hoist panel door is not closed fully and hole on the hoist panel is not closed. 
4.LT movement is stuck while handling the jig/bin.
5.Noise is observed during the LT movement.
6. Incoming supply identification is not available on the PDB. ","All the abnormalities needs to be rectified.
1.L T movement brake is not available. As per discussed Brake not applicable.
2.Lifting hook lock pin is available .
3.Hoist panel door is  not fully  closed .Corrected and photos attached
4..LT movement is stuck while handling the jig/bin. corrected 
5.Noise is observed during the LT movement. Corrected
6. Incoming supply identification is not available on the PDB.  Corrected and photos attached",,"Velmurugan.S - Process","Vijayaraghavan.K - Process","Ramasami.M - Process","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20241216_114324][1]_[1].jpg","1"
"89","STOP NOTICE","19-12-2024","I","PMTC","PMTC - 5T crane","5T crane","1. Hoist upper and lower limit cut off is not working.
2. LT movement break is not working properly.
3. LT limit is not working properly on North side.
4. Bend on the hoist wire rope. 
5. Supply indication lamp - Red bulb is not working
6. Loose connection on the pendant box terminals. Pendant box is not working properly, every time operator twist the pendant box and operate the crane.  
7. East side LT travel gear box mounting is loose condition.
8. East side control panel door is open condition.
9. Noise is observed during the long travel movement.","All the abnormalities need to be rectified ","21-12-2024","THIRUNAGESHWARAN.R - PMTC - MFG","VASANTHA KUMAR.V.G - PMTC - MFG","SELVAKUMARAN.B - PMTC - MFG","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20241217_151319][1]_[1].jpg","1"
"90","STOP NOTICE","19-12-2024","I","Store","GRD store 5T crane"," 5T crane","1.Hoist lower limit cut off is not working.
2.Abnormal noise is coming during hoist up and down movement.
3. CT break is not working.
4. Hook latch spring is not available.
5. Pendant box direction marking is not available based on the crane movement. 
6. Direction marking is not available on crane beam.
7. Entire crane structure is shaking during LT movement.
8. Hoist rope is rusted condition.
9. Light illumination is not sufficient. Two lights are available but it's fixed at 8 feet height, During the unloading operation crane operator  vision is obstructed.  Light need to be fixed on above the coil unloading point.
10. Crane incoming isolator terminals are not guarded/ enclosed.","All the abnormalities need to be rectified.","22-12-2024","Jayachandra babu.D - WED","ELAMARAN.R - Stores","Balakrishna Pawar - WED",,"Reserved_ImageAttachment_[5]_[Photo][19]_[IMG_20241217_152911][1]_[1].jpg","1"
"91","STOP NOTICE","31-01-2025","General","GRS","GRS Yoke line ","IVW0165- Yoke and pole welding SPM ","Machine is running  without right side guard. ","Guard  to be fixed. ","31-01-2025","Suresh.M - LD GRS","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][19]_[IMG-20250131-WA0003][1]_[1].jpg","1"
"92","STOP NOTICE","02-02-2025","General","Others","Canteen","IT0992","The tyre rim is rusted and broken","Need to be changed","04-02-2025","Arockia Dass.K - HR (Canteen)",,,"Open","Reserved_ImageAttachment_[5]_[Photo][28]_[Screenshot 2025-02-02 133928][1]_[1].png","1"
"93","STOP NOTICE","14-02-2025","I","Wiper","Shaft line","IG0059"," Magnetic separator roller not working","Magnetic separator roller needs to be repaired","15-02-2025","Prabakaran.P - Wiper",,,"Open","Reserved_ImageAttachment_[5]_[Photo][32]_[12c7c982c5984539a509fa90723e7731][1]_[1].png","1"
"94","STOP NOTICE","19-02-2025","I","APU","Stator line","IPH0059- Forming machine","Machine top tool is in Loosened Condition, So that minor Incident happened","Recommended to correct the root cause and do the HD to restart the machine","19-02-2025","Raja Mohan.T - ABU","Prasath.M - ABU","Yuvaraj.M - EHS","Open",,"0"
"95","STOP NOTICE","26-03-2025","I","Wiper","Wiper Shaft line","IG0115","We already escalated this machine regarding machine condition but still no improvement.
Machine is very critical of causing fire hazard.
Huge leakage of coolant oil.
Wires are not properly insulated and sleeves missing.
Not maintaining of 5s.
Machine motor guarding damaged.","Suggested to clear the risk point listed in problem description to avoid major incident.","28-03-2025","Stephen Paulraj D - EPU","Prabakaran.P - Wiper","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][32]_[488cd6c8e7a0431b8768d48a48ec0015][1]_[1].jpg","1"
"96","STOP NOTICE","26-03-2025","I","Wiper","WIPER Shaft line","IG0059","We already escalated this machine regarding machine condition but still no improvement.
Machine is very critical of causing fire hazard.
Machine guarding missing around the machine hazard of rotating parts.
Huge leakage of coolant oil.
Wires are not properly insulated and sleeves missing.
Not maintaining of 5s.
Routing screws not removed from the floor causes of fall hazard","Suggested to clear the risk point listed in problem description to avoid major incident.
","27-03-2025","Stephen Paulraj D - EPU","Prabakaran.P - Wiper","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][32]_[ffcd3c28581e4e8d87d5c39853ac2d23][1]_[1].jpg","1"
"97","CAUTION NOTICE","12-05-2025","I","GRS","GRS SUB LINE ASSEMBLY","IT0939","GRS Sub line Assembly, 
GRS OUTPUT SHAFT BUSH & PIN PRESSING MACHINE, 
Stand alone machine running with single tap switch. Which may causes impact to operator,","Kindly replace single tap switch and suggested to install two hand push button.","14-05-2025","Harikrishnan S - CMSBU","Vinosingh.B - GRS","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][32]_[cace1f05c2ad46d58fef4643667a65af][1]_[1].jpg","1"
"98","STOP NOTICE","15-05-2025","II","GRS","GRS - Armature line ","IT0488- Insul forming & Insertion ","1. Machine was running without left side guard.
2. Machine cylinder piston movement is not guarded below the machine table  & Below machine table left and right side openable door is not interlocked.","1.Left side door need to be fixed 
2. Below the machine cylinder piston movement and pinch points needs to be guarded.  Below the machine table left & right side openable door to be interlocked.","15-05-2025","Ramesh.A - CMSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][32]_[1399dfc772844036a17b808fd789be04][1]_[1].jpg","1"
"99","STOP NOTICE","17-05-2025","III","GRS","Drive Manufacturing line  BROACHING Machine","ITAB007","Unsafe Act: 
Operator name Karthik, no supervisor in this line, he work in 12hrs shift 3PM to 3AM and he bypass the machine without closing the front guarding, and not wearing apron.
From safety team given warning he refuse to follow and he said nothing will happen.","Kindly advise supervisor to instruct operators regarding safety awareness, and strict action on this type of safety violating operators.
 Operators were given Safety Awareness and Safety inter lock verified found OK","19-05-2025","Padmanaban.S - ABU","Rasheed - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][32]_[3a1fa30266e342f386738fdbc6eb4510][1]_[1].jpg","1"
"100","CAUTION NOTICE","21-05-2025","I","GRS","GRS YOLK Line","IVW0193","In yolk welding machine fumes killer not working, causes fumes circulate around this location causes of breathing issues to the operator and others.","Relocated the Suction zone and Hose replaced. Fumes extraction is effective","22-05-2025","Selvadurai - WED","Srinivasan.A.K - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Closed","Reserved_ImageAttachment_[5]_[Photo][32]_[c27427e3c4e048848d51d2bb1a015a96][1]_[1].jpg","1"
"101","CAUTION NOTICE","23-05-2025","I","GRS","SGM Armature white stage / INSUL FORMING & INSERTION","IT0487","Right side Sensor Glass broken causes of hand injury.","Suggest to replace sensor and fix dummy in switch panel.","24-05-2025","Srinivasan.A.K - CSBU","Harikrishnan S - CMSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][32]_[f7f6db9fc261438fa3429f1b94058638][1]_[1].jpg","1"
"102","STOP NOTICE","25-05-2025","I","GRS","Drive Line ","IL0126","Coolant oil leakage all around the machine, 
Machine guarding bypassed by keeping magnets, 
Rotating parts may causes crush injury.","Immediate action needs to be taken for oil leakage, periodic cleaning and check the hose nozzle.
Machine guarding needs to be closed.
 ","27-05-2025","Srinivasan.A.K - CSBU","Sasikumar.S - CSBU","Shabeer Basha.S - Plant Head (Starter Group, Padi)","Open","Reserved_ImageAttachment_[5]_[Photo][32]_[e86d48cc9c6744cc9c1263aa6019065a][1]_[1].jpg","1"
